Date,Open,High,Low,Close,Adj Close,Volume
2021/6/16,177.907501,179.547501,175.845001,178.102493,177.834335,30712400
2021/6/17,177.744995,188.350006,177.5625,186.572495,186.291595,80965600
2021/6/18,187.839996,193.75,185.839996,186.387497,186.106873,96885600
2021/6/21,184.352493,185.365005,178.227493,184.272507,183.995056,67238400
2021/6/22,184.714996,189.637497,183.860001,188.867493,188.583145,58014400
2021/6/23,190.077499,191.527496,189.077499,190.572495,190.285568,33235600
2021/6/24,192.277496,194.199997,190.882507,192.054993,191.765823,32092400
2021/6/25,192.804993,193.455002,188.945007,190.309998,190.023468,27836400
2021/6/28,193.612503,200.787506,193.190002,199.850006,199.549118,49543600
2021/6/29,198.824997,200.987503,196.570007,200.267502,199.965973,36763200
2021/6/30,199.992493,201.625,198.637497,200.024994,199.723831,32656800
2021/7/1,201.25,204.559998,200.190002,202.119995,201.815674,48013600
2021/7/2,204.402496,205.052505,202.877502,204.869995,204.561539,34276400
2021/7/6,207.375,208.419998,203.502502,206.985001,206.673355,44670800
2021/7/7,208.535004,208.75,203.320007,203.717499,203.410782,41842800
2021/7/8,198.565002,201.330002,197.007507,199.027496,198.727844,50330000
2021/7/9,199.625,200.802505,197.542496,200.502502,200.200623,29662400
2021/7/12,202.399994,205.327499,201.877502,205.125,204.816162,32198400
2021/7/13,204.005005,204.612503,201.139999,202.5,202.195145,29070800
2021/7/14,203.577499,204.177505,197.527496,198.414993,198.116272,38010000
2021/7/15,198.117493,198.470001,188.585007,189.662506,189.376968,55056400
2021/7/16,190.304993,191.570007,180.729996,181.610001,181.336563,68822400
2021/7/19,179.152496,190.419998,178.654999,187.797501,187.514771,74906000
2021/7/20,187.300003,188.380005,181.639999,186.119995,185.839767,43468700
2021/7/21,188.820007,195.270004,187.419998,194.100006,193.807785,37101700
2021/7/22,196.419998,198.869995,192.759995,195.940002,195.644989,32382600
2021/7/23,196.559998,197,192.5,195.580002,195.285553,19567200
2021/7/26,193.110001,194.419998,189.139999,192.940002,192.64949,20394300
2021/7/27,192.649994,196.220001,187.410004,192.080002,191.790787,24886300
2021/7/28,193.190002,196.460007,189.949997,195.029999,194.736359,20219100
2021/7/29,195.190002,198.529999,193.279999,196.619995,196.323975,19078100
2021/7/30,194.179993,196.300003,192.630005,194.990005,194.696442,18349700
2021/8/2,197,199.610001,193.610001,197.5,197.202652,21744400
2021/8/3,197.399994,202.220001,192.199997,198.149994,197.851669,30181100
2021/8/4,199.899994,203.179993,198.279999,202.740005,202.434784,23130900
2021/8/5,205,207.330002,203.419998,206.369995,206.059296,21143500
2021/8/6,205.240005,205.699997,202.100006,203.660004,203.353363,17849700
2021/8/9,204.460007,205.080002,201.429993,202.949997,202.64444,14644300
2021/8/10,203.220001,204.300003,198.350006,199.360001,199.05986,17923800
2021/8/11,200.429993,200.490005,194.300003,196.990005,196.693405,18592500
2021/8/12,198.699997,200.289993,196.199997,199.050003,198.75032,15165200
2021/8/13,199.050003,202.139999,198.509995,201.880005,201.576065,18306300
2021/8/16,201.350006,202.869995,194.529999,199.5,199.199646,21087600
2021/8/17,196.850006,197.699997,192.669998,194.580002,194.287048,20458500
2021/8/18,195,196.339996,190,190.399994,190.113358,28591300
2021/8/19,194.940002,204.949997,187.619995,197.979996,197.681931,76655500
2021/8/20,199.910004,208.649994,199.330002,208.160004,207.846573,67574100
2021/8/23,209.710007,219.970001,209.5,219.580002,219.249405,57580700
2021/8/24,217.529999,219.589996,215.350006,217.929993,217.601883,29729900
2021/8/25,217.369995,224.699997,217.220001,222.130005,221.795563,34770100
2021/8/26,222,223.399994,217.899994,220.679993,220.347748,23794000
2021/8/27,221.839996,227.220001,221.669998,226.360001,226.019196,30472200
2021/8/30,228.300003,230.429993,225.509995,226.880005,226.538406,26258000
2021/8/31,226.949997,226.949997,221.199997,223.850006,223.552399,25985000
2021/9/1,224.850006,226.970001,223.570007,224.410004,224.111649,20176700
2021/9/2,225.179993,225.929993,222.949997,223.960007,223.662247,18783400
2021/9/3,223.25,229.860001,222,228.429993,228.126297,28053200
2021/9/7,228.330002,228.990005,225.220001,226.619995,226.31868,19810700
2021/9/8,225.130005,226.100006,219.770004,223.389999,223.093002,25443400
2021/9/9,223.119995,225.380005,221.309998,221.770004,221.475174,19685600
2021/9/10,223.479996,226.259995,222.699997,224.779999,224.481155,24837600
2021/9/13,226.839996,229.639999,218.580002,221.520004,221.225479,29750000
2021/9/14,222.75,224.100006,220.860001,222.419998,222.124283,19975500
2021/9/15,223.089996,223.669998,219.660004,223.410004,223.112976,16653800
2021/9/16,221.830002,222.770004,219.270004,222.419998,222.124283,15603300
2021/9/17,223,223.210007,218.300003,219,218.708832,29450300
2021/9/20,211.460007,214.330002,206.619995,211.130005,210.849319,34944000
2021/9/21,214.169998,214.25,209.5,212.460007,212.177536,20468800
2021/9/22,213.660004,219.600006,211.960007,219.410004,219.118286,26872600
2021/9/23,221.399994,225.350006,218.899994,224.820007,224.521103,24855500
2021/9/24,220.699997,221.490005,218.610001,220.809998,220.516418,21765500
2021/9/27,217.100006,217.990005,213.25,216.600006,216.312027,24521500
2021/9/28,212.139999,214.190002,206.509995,206.990005,206.714798,34306900
2021/9/29,209.399994,210.169998,204.669998,205.169998,204.897217,21839400
2021/9/30,207.679993,210.660004,206.880005,207.160004,206.884598,22100900
2021/10/1,207.5,208.589996,202.029999,207.419998,207.144226,24097800
2021/10/4,205.039993,205.419998,195.550003,197.320007,197.057663,34563500
2021/10/5,199.5,206.479996,198.539993,204.509995,204.238083,27928200
2021/10/6,201.199997,207.199997,200.800003,207,206.724792,29720200
2021/10/7,210.919998,213.220001,209.720001,210.75,210.469803,25691900
2021/10/8,211.009995,212.059998,207.75,208.309998,208.033051,15125800
2021/10/11,205.75,210.630005,205.110001,206.949997,206.674835,16338800
2021/10/12,208.279999,210.570007,205.279999,206.710007,206.435196,16213400
2021/10/13,209.179993,209.899994,207.130005,209.389999,209.111618,18065200
2021/10/14,212.880005,217.550003,211.220001,217.460007,217.170883,24358900
2021/10/15,218.100006,219.309998,216.619995,218.619995,218.329361,22699400
2021/10/18,217.490005,222.910004,216.440002,222.220001,221.924561,18949400
2021/10/19,222.759995,223.789993,220.369995,222.899994,222.603653,16147300
